Mass:,24.7%,[LOW],Force:,51.0%,[AVERAGE],Symmetry:,27.8%,[AVERAGE],Turbulence:,9.8%,[MARGINAL],Chaos:,87.5%,[HIGH],Saturation:,3.2%,Colour,Set:,1,Chance:,1,in,1975,tokenID,8000000
Mass:,13.3%,[LOW],Force:,19.2%,[LOW],Symmetry:,83.5%,[HIGH],Turbulence:,20.0%,[LOW],Chaos:,96.1%,[SUPER],Saturation:,50.4%,Colour,Set:,1,Chance:,1,in,21947,tokenID,8000001
Mass:,89.0%,[HIGH],Force:,10.6%,[LOW],Symmetry:,43.1%,[AVERAGE],Turbulence:,62.4%,[AVERAGE],Chaos:,62.4%,[AVERAGE],Saturation:,9.7%,Colour,Set:,1,Chance:,1,in,355,tokenID,8000002
Mass:,86.3%,[HIGH],Force:,92.2%,[SUPER],Symmetry:,28.6%,[AVERAGE],Turbulence:,16.9%,[LOW],Chaos:,54.9%,[AVERAGE],Saturation:,8.8%,Colour,Set:,1,Chance:,1,in,1975,tokenID,8000003
Mass:,96.9%,[SUPER],Force:,72.5%,[AVERAGE],Symmetry:,34.5%,[AVERAGE],Turbulence:,32.2%,[AVERAGE],Chaos:,13.7%,[LOW],Saturation:,0.0%,Colour,Set:,1,Chance:,1,in,592,tokenID,8000004
Mass:,12.9%,[LOW],Force:,32.9%,[AVERAGE],Symmetry:,72.5%,[AVERAGE],Turbulence:,58.4%,[AVERAGE],Chaos:,80.4%,[HIGH],Saturation:,21.3%,Colour,Set:,1,Chance:,1,in,355,tokenID,8000005
Mass:,40.4%,[AVERAGE],Force:,0.0%,[VOID],Symmetry:,11.0%,[LOW],Turbulence:,18.0%,[LOW],Chaos:,23.5%,[LOW],Saturation:,95.0%,Colour,Set:,3,Chance:,1,in,592592,tokenID,8000006
Mass:,20.4%,[LOW],Force:,10.2%,[LOW],Symmetry:,16.1%,[LOW],Turbulence:,19.2%,[LOW],Chaos:,43.5%,[AVERAGE],Saturation:,12.5%,Colour,Set:,1,Chance:,1,in,3950,tokenID,8000007
Mass:,97.3%,[SUPER],Force:,83.1%,[HIGH],Symmetry:,21.2%,[LOW],Turbulence:,12.2%,[LOW],Chaos:,58.8%,[AVERAGE],Saturation:,18.0%,Colour,Set:,1,Chance:,1,in,6584,tokenID,8000008
Mass:,30.6%,[AVERAGE],Force:,98.0%,[SUPER],Symmetry:,53.7%,[AVERAGE],Turbulence:,2.0%,[MARGINAL],Chaos:,62.7%,[AVERAGE],Saturation:,1.6%,Colour,Set:,1,Chance:,1,in,987,tokenID,8000009
